bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
IDR Bradshaw,ODI,48,2537,1777,69,422.8,4.2,25.75,36.77,21.68
J Little,T20,59,1379,1695,69,229.8,7.38,24.57,19.99,13.06
N Pradeep,ODI,45,2302,2320,69,383.7,6.05,33.62,33.36,13.46
PJ Cummins,T20,55,1269,1545,69,211.5,7.3,22.39,18.39,14.05
S Vijay Unni,T20,65,1238,1286,69,206.3,6.23,18.64,17.94,18.08
SM Curran,T20,70,1316,1879,68,219.3,8.57,27.63,19.35,10.38
D Wiese,T20,51,1050,1212,68,175.0,6.93,17.82,15.44,17.2
AF Milne,T20,53,1185,1620,67,197.5,8.2,24.18,17.69,11.92
CA Soper,ODI,50,2380,1774,67,396.7,4.47,26.48,35.52,20.09
WB Rankin,ODI,47,2489,1996,67,414.8,4.81,29.79,37.15,17.88
IS Sodhi,ODI,50,2585,2374,67,430.8,5.51,35.43,38.58,14.52
Kaleem Sana,T20,42,933,938,67,155.5,6.03,14.0,13.93,22.48
E Rukiriza,T20,60,1141,1255,67,190.2,6.6,18.73,17.03,17.15
MR Adair,ODI,47,2348,2179,67,391.3,5.57,32.52,35.04,14.81
DW Steyn,T20,46,1044,1210,67,174.0,6.95,18.06,15.58,16.94
AJ Hosein,ODI,40,2264,1801,67,377.3,4.77,26.88,33.79,18.74
D Maisuria,T20,32,673,622,67,112.2,5.54,9.28,10.04,32.14
Ishtiaq Ahmad,T20,41,932,1036,67,155.3,6.67,15.46,13.91,19.58
JDS Neesham,T20,73,1054,1565,67,175.7,8.91,23.36,15.73,11.39
SW Tait,ODI,34,1833,1533,66,305.5,5.02,23.23,27.77,18.97
IKEG Artawan,T20,70,1181,1284,66,196.8,6.52,19.45,17.89,16.83
SN Thakur,ODI,45,1988,2010,66,331.3,6.07,30.45,30.12,13.84
MN Samuels,ODI,98,3692,2952,66,615.3,4.8,44.73,55.94,15.98
R Ngarava,ODI,45,2202,1946,66,367.0,5.3,29.48,33.36,16.18
CB Mpofu,ODI,64,3158,2898,66,526.3,5.51,43.91,47.85,13.56
SJ Harmison,ODI,46,2447,2039,66,407.8,5.0,30.89,37.08,16.89
SCJ Broad,T20,54,1193,1521,65,198.8,7.65,23.4,18.35,12.89
DE Bollinger,ODI,39,2015,1530,65,335.8,4.56,23.54,31.0,20.55
LM Jongwe,T20,52,981,1339,65,163.5,8.19,20.6,15.09,13.44
A Mishra,ODI,31,1805,1442,65,300.8,4.79,22.18,27.77,20.18
BJ McCarthy,T20,59,1332,1847,65,222.0,8.32,28.42,20.49,10.33
Mohammad Hafeez,T20,78,1264,1386,65,210.7,6.58,21.32,19.45,15.66
J Little,ODI,39,2070,2115,64,345.0,6.13,33.05,32.34,13.08
S Thakor,T20,51,998,907,64,166.3,5.45,14.17,15.59,23.64
B Kumar,Test,21,3363,1716,64,560.5,3.06,26.81,52.55,28.85
Zahoor Khan,T20,46,1053,1184,64,175.5,6.75,18.5,16.45,16.88
Ravi Bishnoi,T20,40,962,1152,64,160.3,7.19,18.0,15.03,16.44
LN Oluoch,T20,56,1062,1223,64,177.0,6.91,19.11,16.59,16.19
TL Chatara,T20,53,1177,1403,64,196.2,7.15,21.92,18.39,14.27
A Dutt,ODI,50,2465,1985,64,410.8,4.83,31.02,38.52,17.37
NL McCullum,T20,59,1137,1291,63,189.5,6.81,20.49,18.05,15.54
PA van Meekeren,ODI,34,1785,1583,63,297.5,5.32,25.13,28.33,17.15
Shoriful Islam,T20,52,1097,1467,63,182.8,8.03,23.29,17.41,12.3
AS Joseph,T20,43,1025,1541,63,170.8,9.02,24.46,16.27,10.66
SA Jumbe,T20,57,1039,1320,63,173.2,7.62,20.95,16.49,13.95
BJ McMullen,ODI,36,1755,1323,63,292.5,4.52,21.0,27.86,21.69
JC Tredwell,ODI,43,2068,1670,63,344.7,4.84,26.51,32.83,18.35
XJ Doherty,ODI,55,2773,2212,63,462.2,4.79,35.11,44.02,16.78
WD Parnell,T20,55,1143,1538,63,190.5,8.07,24.41,18.14,11.81
Faheem Ashraf,T20,72,1165,1532,62,194.2,7.89,24.71,18.79,11.9
