batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
D Ndikubwimana,T20,71,1198,1473,108,17,81.33,16.87,14.89
GH Dockrell,ODI,72,1197,1475,97,26,81.15,16.62,15.18
Asif Khan,T20,50,1197,901,76,76,132.85,23.94,25.5
Zeeshan Maqsood,ODI,45,1196,1855,101,15,64.47,26.58,14.57
TP Ura,ODI,51,1196,1526,131,24,78.37,23.45,16.55
Zeeshan Maqsood,T20,55,1192,1022,119,42,116.63,21.67,21.7
Aqib Ilyas,ODI,29,1191,1648,113,12,72.27,41.07,18.41
MS Wade,T20,66,1191,917,94,46,129.88,18.05,22.48
GD Phillips,ODI,38,1191,1169,88,47,101.88,31.34,21.72
KD Kesuma,T20,66,1189,1113,129,44,106.83,18.02,20.02
Shahriar Nafees,Test,23,1188,2090,180,1,56.84,51.65,18.92
MM Ali,T20,72,1180,866,84,67,136.26,16.39,23.97
Abdul Waheed,T20,45,1180,945,118,37,124.87,26.22,23.3
VP Thamotharam,T20,52,1179,860,77,75,137.09,22.67,25.69
MDKJ Perera,Test,22,1177,1632,151,12,72.12,53.5,21.37
Raqibul Hasan,ODI,48,1177,1910,89,8,61.62,24.52,13.23
KP Pietersen,T20,36,1176,856,119,32,137.38,32.67,25.84
MJ North,Test,21,1171,2434,143,5,48.11,55.76,18.39
PM Siddle,Test,59,1164,2470,126,4,47.13,19.73,10.76
W Madhevere,T20,65,1164,1038,128,16,112.14,17.91,19.0
JDP Oram,Test,20,1158,2187,130,17,52.95,57.9,19.9
BFW de Leede,ODI,44,1155,1621,88,23,71.25,26.25,15.56
DS Airee,ODI,59,1154,1571,88,15,73.46,19.56,14.03
MD Shanaka,ODI,56,1153,1317,87,38,87.55,20.59,17.24
AR Patwa,T20,49,1151,1000,144,32,115.1,23.49,21.59
BRM Taylor,T20,49,1151,933,119,28,123.37,23.49,22.03
JA Raval,Test,24,1143,2675,143,1,42.73,47.62,15.84
RR Pant,T20,63,1142,954,103,41,119.71,18.13,21.03
BT Foakes,Test,25,1139,2416,108,7,47.14,45.56,15.83
Yuvraj Singh,T20,49,1136,858,77,72,132.4,23.18,24.99
CD McMillan,ODI,46,1129,1393,93,32,81.05,24.54,16.95
BN Cooper,T20,49,1127,934,109,32,120.66,23.0,21.66
GH Dockrell,T20,87,1123,865,81,46,129.83,12.91,21.17
P Utseya,ODI,97,1114,1935,76,11,57.57,11.48,10.03
DS Smith,Test,29,1112,2463,149,1,45.15,38.34,14.31
AD Russell,T20,71,1112,706,65,95,157.51,15.66,27.65
JEC Franklin,ODI,61,1107,1425,84,17,77.68,18.15,14.25
RW Chakabva,ODI,50,1106,1650,88,8,67.03,22.12,13.3
JDS Neesham,T20,77,1105,810,85,55,136.42,14.35,22.8
